34760,28870,5491,4940,2564,970,1,1
26070,1,4326,2362,5129,1293,1,1
8690,1,4326,2792,3030,1778,326,1
8690,9623,10483,10095,12123,3395,652,158
17380,28870,13312,14175,11657,6306,489,158
8690,9623,4992,6228,6527,3557,815,1
8690,1,832,429,699,1,1,1
8690,1,16806,17183,13522,5174,489,1
8690,9623,5491,4940,5362,1293,489,1
8690,1,5824,6228,5362,2263,1,1
17380,1,6323,6658,5828,970,326,1
8690,1,3993,6014,4662,1131,1,1
8690,1,2995,2362,1398,485,489,1
26070,19247,11481,11813,9092,5174,652,1
8690,1,2995,3221,4429,808,163,1
8690,1,8486,7732,8859,4689,652,1
17380,1,8486,7302,7693,2748,489,158
34760,19247,17638,15464,17485,9701,978,1
8690,9623,7488,5799,6294,5820,1956,158
8690,1,5657,6014,5595,1616,489,1
8690,9623,12147,15464,11890,3880,1467,1
8690,1,832,859,699,1,1,1
8690,9623,8653,7517,6761,1293,326,1
17380,9623,5824,4080,3730,2102,1,1
8690,19247,9984,9665,4662,2587,489,1
17380,1,1996,1718,1165,323,1,1
17380,1,10317,7947,9791,3880,652,158
26070,28870,39105,28351,35903,16007,2772,317
8690,19247,7321,10524,12589,4527,326,1
8690,1,1164,1288,932,1,1,1
8690,1,4659,6443,3497,1940,1,1
17380,1,1996,859,1165,485,326,1
8690,1,6156,2577,5362,1131,1,1
8690,19247,12813,13746,12822,5174,652,1
8690,1,2662,4940,2564,1293,163,1
34760,28870,6156,4295,5129,2263,1,1
8690,1,832,429,466,1,1,1
17380,1,6822,1933,8159,3557,815,1
17380,19247,20800,20190,17718,7276,1141,1
8690,1,4659,3221,3030,1940,326,1
8690,1,1996,3436,5362,1131,326,1
8690,1,4492,1718,2331,1131,163,1
8690,1,4326,2792,4662,1293,489,1
8690,9623,1996,2147,2331,485,163,1
34760,19247,16640,17827,19350,20050,4239,793
8690,1,1830,859,1165,646,163,1
8690,9623,5158,6014,2098,1616,326,1
8690,19247,8985,9021,7926,3718,978,1
17380,19247,14477,20404,20050,7923,652,1
17380,1,5824,7087,6294,2587,489,1
8690,1,2662,1503,1865,485,1,1
8690,9623,10982,10954,5129,970,1,1
17380,9623,15309,16323,16553,8408,2283,1
17380,19247,12313,8376,12822,5012,163,1
26070,76988,51751,41239,45695,19726,3261,317
17380,1,4659,8161,9325,2587,163,158
17380,1,1664,2792,2564,646,326,1
8690,1,998,859,1,161,1,1
8690,1,5324,3866,6994,1293,326,1
8690,9623,1497,2362,2797,1455,326,1
8690,9623,9651,8806,10025,3395,163,1
17380,1,9152,8591,4429,1778,1,1
17380,1,7821,7947,8626,2748,489,1
8690,1,3328,3866,5828,1131,163,1
8690,1,3494,2792,1865,1293,163,1
17380,1,5491,4940,7460,3233,652,1
8690,1,2496,2147,2331,485,163,1
8690,9623,5824,3866,3497,2425,163,1
8690,1,2995,1933,3497,2748,489,1
17380,9623,9984,11598,11190,4042,163,1
