file_prefix,sample
18032FL-111-07-19,EvolvingFront_WGS_Plate2_C03
18032FL-111-07-27,EvolvingFront_WGS_Plate2_C04
18032FL-111-07-35,EvolvingFront_WGS_Plate2_C05
18032FL-111-07-43,EvolvingFront_WGS_Plate2_C06
18032FL-111-07-51,EvolvingFront_WGS_Plate2_C07
18032FL-111-07-59,EvolvingFront_WGS_Plate2_C08
18032FL-111-07-67,EvolvingFront_WGS_Plate2_C09
18032FL-111-07-75,EvolvingFront_WGS_Plate2_C10
18032FL-111-07-83,EvolvingFront_WGS_Plate2_C11
18032FL-111-07-91,EvolvingFront_WGS_Plate2_C12
18032FL-111-07-04,EvolvingFront_WGS_Plate2_D01
18032FL-111-07-12,EvolvingFront_WGS_Plate2_D02
18032FL-111-07-20,EvolvingFront_WGS_Plate2_D03
18032FL-111-07-28,EvolvingFront_WGS_Plate2_D04
18032FL-111-07-36,EvolvingFront_WGS_Plate2_D05
18032FL-111-07-44,EvolvingFront_WGS_Plate2_D06
18032FL-111-07-52,EvolvingFront_WGS_Plate2_D07
18032FL-111-07-60,EvolvingFront_WGS_Plate2_D08
18032FL-111-07-68,EvolvingFront_WGS_Plate2_D09
18032FL-111-07-76,EvolvingFront_WGS_Plate2_D10
18032FL-111-07-84,EvolvingFront_WGS_Plate2_D11
18032FL-111-07-92,EvolvingFront_WGS_Plate2_D12
18032FL-111-07-05,EvolvingFront_WGS_Plate2_E01
18032FL-111-07-13,EvolvingFront_WGS_Plate2_E02
18032FL-111-07-21,EvolvingFront_WGS_Plate2_E03
18032FL-111-07-29,EvolvingFront_WGS_Plate2_E04
18032FL-111-07-37,EvolvingFront_WGS_Plate2_E05
18032FL-111-07-45,EvolvingFront_WGS_Plate2_E06
18032FL-111-07-53,EvolvingFront_WGS_Plate2_E07
18032FL-111-07-61,EvolvingFront_WGS_Plate2_E08
18032FL-111-07-69,EvolvingFront_WGS_Plate2_E09
18032FL-111-07-77,EvolvingFront_WGS_Plate2_E10
18032FL-111-07-85,EvolvingFront_WGS_Plate2_E11
18032FL-111-07-93,EvolvingFront_WGS_Plate2_E12
18032FL-111-07-06,EvolvingFront_WGS_Plate2_F01
18032FL-111-07-14,EvolvingFront_WGS_Plate2_F02
18032FL-111-07-22,EvolvingFront_WGS_Plate2_F03
18032FL-111-07-30,EvolvingFront_WGS_Plate2_F04
18032FL-111-07-38,EvolvingFront_WGS_Plate2_F05
18032FL-111-07-46,EvolvingFront_WGS_Plate2_F06
18032FL-111-07-54,EvolvingFront_WGS_Plate2_F07
18032FL-111-07-62,EvolvingFront_WGS_Plate2_F08
18032FL-111-07-70,EvolvingFront_WGS_Plate2_F09
18032FL-111-07-78,EvolvingFront_WGS_Plate2_F10
18032FL-111-07-86,EvolvingFront_WGS_Plate2_F11
18032FL-111-07-94,EvolvingFront_WGS_Plate2_F12
18032FL-111-07-07,EvolvingFront_WGS_Plate2_G01
18032FL-111-07-15,EvolvingFront_WGS_Plate2_G02
18032FL-111-07-23,EvolvingFront_WGS_Plate2_G03
18032FL-111-07-31,EvolvingFront_WGS_Plate2_G04
18032FL-111-07-39,EvolvingFront_WGS_Plate2_G05
18032FL-111-07-47,EvolvingFront_WGS_Plate2_G06
18032FL-111-07-55,EvolvingFront_WGS_Plate2_G07
18032FL-111-07-63,EvolvingFront_WGS_Plate2_G08
18032FL-111-07-71,EvolvingFront_WGS_Plate2_G09
18032FL-111-07-79,EvolvingFront_WGS_Plate2_G10
18032FL-111-07-87,EvolvingFront_WGS_Plate2_G11
18032FL-111-07-95,EvolvingFront_WGS_Plate2_G12
18032FL-111-07-08,EvolvingFront_WGS_Plate2_H01
18032FL-111-07-16,EvolvingFront_WGS_Plate2_H02
18032FL-111-07-24,EvolvingFront_WGS_Plate2_H03
18032FL-111-07-32,EvolvingFront_WGS_Plate2_H04
18032FL-111-07-40,EvolvingFront_WGS_Plate2_H05
18032FL-111-07-48,EvolvingFront_WGS_Plate2_H06
18032FL-111-07-56,EvolvingFront_WGS_Plate2_H07
18032FL-111-07-64,EvolvingFront_WGS_Plate2_H08
18032FL-111-07-72,EvolvingFront_WGS_Plate2_H09
18032FL-111-07-80,EvolvingFront_WGS_Plate2_H10
18032FL-111-07-88,EvolvingFront_WGS_Plate2_H11
18032FL-111-07-96,EvolvingFront_WGS_Plate2_H12
18032FL-115-07-01_L002,EvolvingFront_WGS_Plate5_A01_Lane1
18032FL-115-07-02_L002,EvolvingFront_WGS_Plate5_B01_Lane1
18032FL-115-07-03_L002,EvolvingFront_WGS_Plate5_C01_Lane1
18032FL-115-07-04_L002,EvolvingFront_WGS_Plate5_D01_Lane1
18032FL-115-07-05_L002,EvolvingFront_WGS_Plate5_E01_Lane1
18032FL-115-07-06_L002,EvolvingFront_WGS_Plate5_F01_Lane1
18032FL-115-07-07_L002,EvolvingFront_WGS_Plate5_G01_Lane1
18032FL-115-07-08_L002,EvolvingFront_WGS_Plate5_H01_Lane1
18032FL-115-07-09_L002,EvolvingFront_WGS_Plate5_A02_Lane1
18032FL-115-07-10_L002,EvolvingFront_WGS_Plate5_B02_Lane1
18032FL-115-07-11_L002,EvolvingFront_WGS_Plate5_C02_Lane1
18032FL-115-07-12_L002,EvolvingFront_WGS_Plate5_D02_Lane1
18032FL-115-07-13_L002,EvolvingFront_WGS_Plate5_E02_Lane1
18032FL-115-07-14_L002,EvolvingFront_WGS_Plate5_F02_Lane1
18032FL-115-07-15_L002,EvolvingFront_WGS_Plate5_G02_Lane1
18032FL-115-07-16_L002,EvolvingFront_WGS_Plate5_H02_Lane1
18032FL-115-07-17_L002,EvolvingFront_WGS_Plate5_A03_Lane1
18032FL-115-07-18_L002,EvolvingFront_WGS_Plate5_B03_Lane1
18032FL-115-07-19_L002,EvolvingFront_WGS_Plate5_C03_Lane1
18032FL-115-07-20_L002,EvolvingFront_WGS_Plate5_D03_Lane1
18032FL-115-07-21_L002,EvolvingFront_WGS_Plate5_E03_Lane1
18032FL-115-07-22_L002,EvolvingFront_WGS_Plate5_F03_Lane1
18032FL-115-07-23_L002,EvolvingFront_WGS_Plate5_G03_Lane1
18032FL-115-07-24_L002,EvolvingFront_WGS_Plate5_H03_Lane1
18032FL-115-07-25_L002,EvolvingFront_WGS_Plate5_A04_Lane1
18032FL-115-07-26_L002,EvolvingFront_WGS_Plate5_B04_Lane1
18032FL-115-07-27_L002,EvolvingFront_WGS_Plate5_C04_Lane1
18032FL-115-07-28_L002,EvolvingFront_WGS_Plate5_D04_Lane1
18032FL-115-07-29_L002,EvolvingFront_WGS_Plate5_E04_Lane1
18032FL-115-07-30_L002,EvolvingFront_WGS_Plate5_F04_Lane1
18032FL-115-07-31_L002,EvolvingFront_WGS_Plate5_G04_Lane1
18032FL-115-07-32_L002,EvolvingFront_WGS_Plate5_H04_Lane1
18032FL-115-07-33_L002,EvolvingFront_WGS_Plate5_A05_Lane1
18032FL-115-07-34_L002,EvolvingFront_WGS_Plate5_B05_Lane1
18032FL-115-07-35_L002,EvolvingFront_WGS_Plate5_C05_Lane1
18032FL-115-07-36_L002,EvolvingFront_WGS_Plate5_D05_Lane1
18032FL-115-07-37_L002,EvolvingFront_WGS_Plate5_E05_Lane1
18032FL-115-07-38_L002,EvolvingFront_WGS_Plate5_F05_Lane1
18032FL-115-07-39_L002,EvolvingFront_WGS_Plate5_G05_Lane1
18032FL-115-07-40_L002,EvolvingFront_WGS_Plate5_H05_Lane1
18032FL-115-07-41_L002,EvolvingFront_WGS_Plate5_A06_Lane1
18032FL-115-07-42_L002,EvolvingFront_WGS_Plate5_B06_Lane1
18032FL-115-07-43_L002,EvolvingFront_WGS_Plate5_C06_Lane1
18032FL-115-07-44_L002,EvolvingFront_WGS_Plate5_D06_Lane1
18032FL-115-07-45_L002,EvolvingFront_WGS_Plate5_E06_Lane1
18032FL-115-07-46_L002,EvolvingFront_WGS_Plate5_F06_Lane1
18032FL-115-07-47_L002,EvolvingFront_WGS_Plate5_G06_Lane1
18032FL-115-07-48_L002,EvolvingFront_WGS_Plate5_H06_Lane1
18032FL-115-07-49_L002,EvolvingFront_WGS_Plate5_A07_Lane1
18032FL-115-07-50_L002,EvolvingFront_WGS_Plate5_B07_Lane1
18032FL-115-07-51_L002,EvolvingFront_WGS_Plate5_C07_Lane1
18032FL-115-07-52_L002,EvolvingFront_WGS_Plate5_D07_Lane1
18032FL-115-07-53_L002,EvolvingFront_WGS_Plate5_E07_Lane1
18032FL-115-07-54_L002,EvolvingFront_WGS_Plate5_F07_Lane1
18032FL-115-07-55_L002,EvolvingFront_WGS_Plate5_G07_Lane1
18032FL-115-07-56_L002,EvolvingFront_WGS_Plate5_H07_Lane1
